Name,Driving License Number,License Issue Date,License Expiry Date,Date of Birth,Address,Gender,Mobile Number,Email
Michael Clark,S49SB1TV2L37JYOX689R9GAFW8C,07/06/2028,07/07/2017,03/10/1938,"3046 Escobar Stravenue Suite 974, North Melissa, MI 72958",Other,261793,rileydavid@example.org
James Guerrero,154M2IALFITR5HDBWG96HJ,06/05/2034,02/05/2017,23/03/1959,"41036 Kiara Plain, Jonesmouth, NC 03749",Male,zXoXPTddgJ,travisharmon@example.org
Leslie Martinez,017563713615021,24/08/2030,12/06/2016,27/11/1977,"62304 Ana Mission Suite 366, Mitchellburgh, MO 40457",Unknown,86390044240242,adam96@example.org
Joseph Hernandez,NFIOWMH6L3UWP6CJ3JNXPLA67,21/11/2030,10/04/2022,12/12/1999,"24723 Paula Circle Suite 054, Onealborough, NJ 24574",Male,812,pcampbell@example.org
Matthew Daugherty,JDAH16O5VVXCCKR0TMC2NS,24/04/2031,17/05/2016,05/01/1967,"023 Espinoza Spur Apt. 834, South Patrickside, NH 25639",Unknown,0BMSrJXsPB,michael11@example.com
Tamara Allen,1EE,20/11/2025,18/01/2016,04/11/1945,"279 Mason Haven Apt. 467, New Clayton, NV 83312",Female,157278,bcampbell@example.org
Caroline Odonnell,BV0E866N,07/07/2026,01/05/2018,13/01/1950,"USCGC Wright, FPO AA 53630",Other,818538119161641,nataliemcdonald@example.com
Jennifer Irwin,C0YQ9,06/11/2026,23/12/2016,03/04/1973,"0000 Sarah Gardens Apt. 119, New Angela, NY 54214",Unknown,qmFMGtBeJg,brandonlane@example.com
Laura Harvey,899263490411245,14/02/2034,08/08/2021,05/04/1964,"0949 Coleman View Apt. 713, Port Brandonhaven, FM 41790",Female,246484,boothnathaniel@example.com
Jimmy Luna,808261287660242,28/07/2031,03/12/2023,27/11/1949,"5899 Beck Key Apt. 222, South Courtneystad, TN 79421",Unknown,aej1S72xKL,taylorvance@example.org
