name,dob,gender,aadhaar_number,address,name_length,name_type,dob_valid,masked_aadhaar,aadhaar_number_length,aadhaar_number_type,address_length,address_type,aadhaar_valid
Kelsey Anderson,01/07/1997,Female,XXXX XXXX 0032,"427 Steven Passage, Vaughnhaven, DE 33217",15,Valid,Valid,Valid,14,Invalid,41.0,Valid,Valid
Justin Durham,23/05/1995,Male,XXXX XXXX 5598,"95027 Ryan Fords, Port Allisonmouth, MN 87114",13,Valid,Valid,Valid,14,Invalid,45.0,Valid,Valid
Natasha Brown,27/05/1992,Female,XXXX XXXX 1388,"019 Mills Mission, Bondstad, PR 19704",13,Valid,Valid,Valid,14,Invalid,37.0,Valid,Valid
Francisco Crawford,26/10/1963,Female,XXXX XXXX 9063,"737 Cheyenne Squares Suite 029, New Luismouth, AR 52013",18,Valid,Valid,Valid,14,Invalid,55.0,Valid,Valid
Lauren Cook,21/02/1967,Female,XXXX XXXX 5619,"7477 Nguyen Junction, Douglasstad, SC 06115",11,Valid,Valid,Valid,14,Invalid,43.0,Valid,Valid
Holly Martinez,30/07/1987,Other,XXXX XXXX 6160,"34064 Clark Inlet, North Benjamin, SC 45345",14,Valid,Valid,Valid,14,Invalid,43.0,Valid,Valid
Cheryl Faulkner,05/11/1950,Male,XXXX XXXX 9614,"6666 Lambert Burg, Lake Adrian, MH 30614",15,Valid,Valid,Valid,14,Invalid,40.0,Valid,Valid
Lucas Nunez,06/01/2003,Other,XXXX XXXX 4301,"31776 Sexton Plaza Suite 676, Kristenshire, IN 20342",11,Valid,Valid,Valid,14,Invalid,52.0,Valid,Valid
Samuel Powell,05/05/1999,Male,XXXX XXXX 2505,"6125 Michelle Lakes, Whitebury, AZ 72935",13,Valid,Valid,Valid,14,Invalid,40.0,Valid,Valid
Wendy Ramos,05/06/1992,Female,XXXX XXXX 4876,"321 Davenport Pike Suite 105, North Anthony, PA 45068",11,Valid,Valid,Valid,14,Invalid,53.0,Valid,Valid
Martha Holder,09/01/1992,Other,XXXX XXXX 2772,"96783 Hawkins Square Apt. 464, Howelltown, MA 65275",13,Valid,Valid,Valid,14,Invalid,51.0,Valid,Valid
