Name,Voter ID Number,Date of Birth,Father's Name,Address,Gender,Mobile Number,Email
Donna Taylor,NRH0416284,09/10/1977,John Johnson,"920 Hill Skyway Apt. 928, West Kevin, AZ 12390",Male,1903107069,smithrobert@example.net
James Ramos,IRE9380327,07/02/1976,David Sheppard,"230 Cynthia Greens, Morrisberg, AL 52008",Male,1768089737,matthewrogers@example.com
Eugene Miller,YSB0177399,06/11/1958,James Jones,"9779 Ellison Court Suite 959, Walkerburgh, MH 86184",Female,6723660612,reidapril@example.com
Kevin Taylor,BKW5101078,19/04/1954,Danny Bailey,"775 Regina Meadows, Port Karenshire, AK 95840",Female,9664373993,michelle19@example.org
Charles Scott,O,03/05/1997,Christian Morrison,"97910 Murray Springs, Jonesburgh, WI 46991",O,6440064,lopezkarina@example.org
Pamela Woodward,TKX1655343,23/05/1956,Justin Lee,"608 Valenzuela Lakes Apt. 820, Martinmouth, GU 67374",Male,7428384320,ecollins@example.com
Tara Johnson,LNE6141684,26/03/1974,James Lewis,"698 Coleman Plains Suite 941, South Amyside, WY 64660",Female,5473212358,cdiaz@example.net
Shawn Fox,DFM6976016,28/03/1997,Philip Robinson,"229 Carlos Mountains, New Matthew, MA 45779",Female,5927787870,lalexander@example.org
Justin Smith,SLH3549290,09/03/1978,Robert Lewis,"509 Young Island Suite 634, Deborahton, GU 43597",Female,3100716163,bakerkayla@example.org
Ryan Watkins,UYB4462105,30/09/1947,Anthony Kennedy,"22246 Brian Mountains Apt. 590, West Kristinafurt, MH 06486",Other,6162073251,martinkara@example.org
Melissa Fernandez,ZXE3806941,06/11/1982,Kevin Zimmerman,"3735 Tina Fort, Kellyside, OH 93128",Female,550968779,davidgilbert@example.org
Robert Porter,H7CG9IAJLV2RCH24,27/11/1998,John Nichols,"15430 Mitchell Overpass Suite 520, Port Joseph, CT 69498",O,BSSuq73iZH,katie20@example.com
Jasmine Reed,PBH7755696,25/03/1979,Seth Brown,"PSC 5208, Box 7800, APO AP 02702",Male,5166845103,kirbyamy@example.org
Deborah Martin,LLV4156667,06/03/1954,James Douglas,"168 Rivera Neck, Jacobsburgh, ID 61470",Male,548578801,moniquemoreno@example.net
